price,estate_type,distribution_type,space,id_solo,photos_nb,floor_nb,nb_rooms,nb_bedrooms,estate_postalcode,url2post,region
495000,1,2,59,85858963,8,13,2,1,92110,https://www.logic-immo.com/detail-vente-D9CD3308-02DB-2656-78F7-678AC75FE8B6.htm,1
96500,1,2,8,86475643,10,6,1,0,75011,https://www.logic-immo.com/detail-vente-0BECC29D-2544-85F2-B554-3803C1AC1DF4.htm,1
119000,1,2,62,85234213,10,4,3,2,78200,https://www.logic-immo.com/detail-vente-D1D8881E-5F8E-93DD-E07A-DFD3D8EFDE57.htm,1
125000,1,2,18,85138444,6,1,1,0,94800,https://www.logic-immo.com/detail-vente-A28713B0-3686-178E-EC2E-0259516915E8.htm,1
129000,1,2,34,86239637,4,2,1,0,95130,https://www.logic-immo.com/detail-vente-BCBB2EFD-E311-711E-63E0-C2125CBCE9EB.htm,1
129500,1,2,38,85678604,6,2,1,0,95420,https://www.logic-immo.com/detail-vente-B748FADB-0BF8-E27D-ACAC-36B82633A3F0.htm,1
130000,1,2,36,85112467,7,3,2,1,93800,https://www.logic-immo.com/detail-vente-F0164E86-AFE1-2F58-E701-65094485D3C7.htm,1
130000,1,2,31,86518305,5,2,1,0,95300,https://www.logic-immo.com/detail-vente-6085BA6D-CB86-DE57-5757-AEFAF09AFC86.htm,1
133000,1,2,26,85990200,6,1,0,0,78260,https://www.logic-immo.com/detail-vente-18DD033D-2101-0D1E-5D00-14C9B5678EFE.htm,1
135000,1,2,12,85952734,4,6,1,0,92200,https://www.logic-immo.com/detail-vente-2DBBE204-1F83-DBD8-2079-A26F21237884.htm,1
138000,1,2,74,86548110,6,4,3,0,78410,https://www.logic-immo.com/detail-vente-75BBD0B3-E52E-5434-7E2B-0AE1E75BACA0.htm,1
139000,1,2,49,86210923,7,4,2,1,91380,https://www.logic-immo.com/detail-vente-10787F75-F1B4-2EF9-8BD1-9E8A378B7F73.htm,1
139000,1,2,44,85697193,1,3,2,1,91100,https://www.logic-immo.com/detail-vente-77D20229-D24F-8A4C-8D57-ED07AD35455B.htm,1
139000,1,2,20,83178550,2,1,0,0,78420,https://www.logic-immo.com/detail-vente-A7EE5F4D-A57D-05AB-445B-981DE4DAE554.htm,1
139000,1,2,43,85561495,4,2,1,0,91100,https://www.logic-immo.com/detail-vente-A1F8ED0B-0D53-8D38-FD46-A3A02EEF66B6.htm,1
139000,1,2,49,85590362,6,2,1,0,91940,https://www.logic-immo.com/detail-vente-E9F15204-603F-2897-1276-3E56D5D648DC.htm,1
139000,1,2,74,81645247,7,9,4,2,91130,https://www.logic-immo.com/detail-vente-AF99C113-E6F9-49BD-A809-52F83ACEB7B6.htm,1
139400,1,2,10,85996315,10,6,1,0,75017,https://www.logic-immo.com/detail-vente-B16E79BB-37B6-9B19-A664-DB145563B82C.htm,1
141000,1,2,25,82538797,7,2,1,0,95320,https://www.logic-immo.com/detail-vente-D0FEA3D0-90B5-719E-BA53-99067D5339C8.htm,1
144000,1,2,39,86037166,10,1,2,1,91000,https://www.logic-immo.com/detail-vente-22017C4B-49C4-CD9C-F0BD-010F53CFECE7.htm,1
144000,1,2,32,86398297,6,1,2,1,91600,https://www.logic-immo.com/detail-vente-1C727569-D71C-B079-DFF2-72FC7F61C1B2.htm,1
144000,1,2,40,86398299,8,2,2,1,91000,https://www.logic-immo.com/detail-vente-DE26511B-7385-4AC8-7BD5-56CC028116D1.htm,1
147000,1,2,35,86478531,4,1,2,1,93220,https://www.logic-immo.com/detail-vente-A65CEE3B-7F91-6CF5-D79D-FCFDAC7623F3.htm,1
149000,1,2,46,85489458,3,7,2,1,78370,https://www.logic-immo.com/detail-vente-02101606-0CF7-403E-0D17-2DC2926C8809.htm,1
149000,1,2,54,86206721,10,3,2,0,78190,https://www.logic-immo.com/detail-vente-92C96A6E-45B0-B4FC-D402-C5A9589349F9.htm,1
155000,1,2,40,84938447,4,2,2,1,91700,https://www.logic-immo.com/detail-vente-D6D540C8-D334-D5EA-8943-5E53079B471F.htm,1
155000,1,2,37,86239886,5,2,1,0,91200,https://www.logic-immo.com/detail-vente-EB00330C-307E-9A00-B7F9-5F8EF57138B9.htm,1
157000,1,2,65,86027595,7,7,3,2,91600,https://www.logic-immo.com/detail-vente-7FA78CBE-A464-929A-C7BF-A5E14C17166F.htm,1
159500,1,2,31,85466799,3,2,1,0,93220,https://www.logic-immo.com/detail-vente-B9460D16-FF6A-7F05-51A8-4B830B2433E7.htm,1
159500,1,2,64,85391069,7,3,4,2,95130,https://www.logic-immo.com/detail-vente-D806D2D2-F11C-452F-9C83-C9DC1239E12F.htm,1
159900,1,2,30,86468096,6,2,2,1,92000,https://www.logic-immo.com/detail-vente-FAA3D57F-8C31-9F28-98AB-2B1BE7C89CCB.htm,1
164000,1,2,13,85816834,10,1,0,1,75015,https://www.logic-immo.com/detail-vente-09C6BDCD-27BD-4C58-2B40-4D96DA265806.htm,1
164900,1,2,41,86237441,6,2,1,1,77230,https://www.logic-immo.com/detail-vente-4AE27CAD-F020-AC0A-14AA-62F6BC03A68B.htm,1
165000,1,2,82,85626160,9,7,4,2,91600,https://www.logic-immo.com/detail-vente-2DD9ADF7-3707-53EA-3F38-7EEE331B8209.htm,1
165000,1,2,19,85469480,7,1,1,0,94800,https://www.logic-immo.com/detail-vente-509A7643-19A6-9E35-BC31-B90BA0F59776.htm,1
165000,1,2,13,86469334,10,2,1,0,75018,https://www.logic-immo.com/detail-vente-A32C0485-FF13-E6D4-7CC6-7EE80490B6C7.htm,1
165000,1,2,44,86590671,8,2,1,0,94000,https://www.logic-immo.com/detail-vente-BBF295FA-C093-2524-24FE-C60CC9F162A7.htm,1
165850,1,2,30,86036780,6,3,1,0,94000,https://www.logic-immo.com/detail-vente-93AFB35C-50A9-017B-A0DA-0F5B96629892.htm,1
168500,1,2,37,86448434,7,2,1,0,95000,https://www.logic-immo.com/detail-vente-A40491C9-BFF4-5467-B205-A2C24B454408.htm,1
169000,1,2,46,81644083,5,2,2,1,91200,https://www.logic-immo.com/detail-vente-E5B16A94-0F06-45FC-D03C-07CE1A57C6BF.htm,1
169500,1,2,37,85489851,10,2,2,1,78955,https://www.logic-immo.com/detail-vente-B5A06074-A697-596E-2987-C4260EDFF8F5.htm,1
171000,1,2,46,86301417,10,3,2,1,91160,https://www.logic-immo.com/detail-vente-565474C0-D575-0C14-B637-68F4087FC216.htm,1
172800,1,2,48,80504322,4,1,2,1,91260,https://www.logic-immo.com/detail-vente-91AF4DF3-5B8E-553F-18AF-F1CDD9A9CAD3.htm,1
174500,1,2,43,86594653,7,2,2,1,78300,https://www.logic-immo.com/detail-vente-5A460C90-1406-4E3D-CB62-2804AFECB600.htm,1
175000,1,2,65,85302609,8,10,3,2,94000,https://www.logic-immo.com/detail-vente-0191FA2C-D5BA-0838-05A4-51E55E125E63.htm,1
178000,1,2,67,85411116,10,8,3,2,95000,https://www.logic-immo.com/detail-vente-5D4929A3-468F-496F-A8DF-BB95E0A70511.htm,1
179000,1,2,60,84220330,5,2,4,3,95600,https://www.logic-immo.com/detail-vente-86937D42-7DDE-238B-D531-557563CA1018.htm,1
179500,1,2,34,85109783,8,2,2,1,78300,https://www.logic-immo.com/detail-vente-7E4561F7-FA9E-D4AE-F96B-C6BE1554B741.htm,1
179760,1,2,81,86401143,8,3,5,3,91170,https://www.logic-immo.com/detail-vente-D75897E9-3DE0-0E08-3A7D-CFB9D341092B.htm,1
180000,1,2,16,86397172,8,1,0,0,75016,https://www.logic-immo.com/detail-vente-57BA5B7C-44C2-8CD5-B5A4-0BCA4FC720A2.htm,1
181500,1,2,51,86086894,9,1,2,1,78955,https://www.logic-immo.com/detail-vente-31556DDF-FE57-98A1-A989-CC0B4981A921.htm,1
182000,1,2,55,85522818,8,1,3,2,91600,https://www.logic-immo.com/detail-vente-B5187761-6947-CB1B-D1D5-E483B8631A90.htm,1
182700,1,2,58,85977802,8,4,3,2,78340,https://www.logic-immo.com/detail-vente-9753DD9F-117D-1712-4466-6E9D62AB8A25.htm,1
184000,1,2,85,83887335,9,3,5,3,77210,https://www.logic-immo.com/detail-vente-AA81A584-0BA8-40E9-CCEC-54EE29D575BA.htm,1
185000,1,2,30,86240980,6,2,2,1,93400,https://www.logic-immo.com/detail-vente-76F2E777-AA7B-58F9-D2C6-0E45114EC0A1.htm,1
185500,1,2,23,86652046,2,2,1,0,93400,https://www.logic-immo.com/detail-vente-2AD5B8DA-1727-252F-35EB-4F28F8291AE2.htm,1
186000,1,2,41,85182131,6,2,1,0,78120,https://www.logic-immo.com/detail-vente-559BE856-E5E4-0CA9-9E72-00186C6F9ACD.htm,1
